price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,size,type,paint_color,state
7995,2012,volvo,c70,,5 cylinders,gas,94867,clean,automatic,,convertible,black,nj
12433,2015,hyundai,genesis coupe,excellent,6 cylinders,gas,68125,clean,automatic,sub-compact,coupe,white,oh
35000,2013,chevrolet,camaro zl1 convertible,excellent,8 cylinders,gas,3400,clean,manual,mid-size,convertible,yellow,tn
13895,2014,honda,civic,,,gas,62258,clean,manual,compact,coupe,,ct
15000,2017,ford,mustang convertible,,,gas,50000,clean,automatic,,convertible,,ca
20000,2007,ford,mustang gt premium,excellent,8 cylinders,gas,25000,clean,manual,compact,coupe,blue,il
11390,2011,cadillac,cts,,,gas,115200,clean,automatic,,coupe,black,oh
20790,2019,honda,civic sport coupe 2d,good,,gas,746,clean,other,,coupe,black,oh
3250,2003,honda,accord ex coupe,good,4 cylinders,gas,164200,clean,automatic,compact,coupe,black,il
7000,1999,mercedes-benz,benz sl500,excellent,8 cylinders,gas,170000,clean,automatic,compact,convertible,black,ca
7500,2002,mazda,,excellent,4 cylinders,gas,37000,clean,manual,compact,convertible,yellow,mn
14000,1986,mercedes-benz,benz 560 sl,excellent,8 cylinders,gas,126000,clean,automatic,compact,convertible,,ca
18000,1989,mercedes-benz,560 sl,excellent,8 cylinders,gas,165000,clean,automatic,compact,convertible,black,ca
5500,2004,ford,mustang,good,6 cylinders,gas,134843,clean,automatic,,convertible,red,mn
2295,2004,honda,civic coupe lx,excellent,4 cylinders,gas,164163,clean,automatic,compact,coupe,black,mn
0,2019,ford,mustang,,4 cylinders,gas,24603,clean,other,,convertible,grey,nc
11250,2015,honda,accord 2-door coupe,excellent,4 cylinders,gas,54700,clean,automatic,mid-size,coupe,white,mn
10750,2008,bmw,6-series,excellent,8 cylinders,gas,,clean,automatic,sub-compact,coupe,silver,nm
5500,2006,mazda,miata,good,4 cylinders,gas,993000,clean,manual,compact,convertible,silver,nm
12900,2011,bmw,328i,,,gas,98433,clean,automatic,compact,convertible,blue,nm
11000,1980,,MGB,excellent,4 cylinders,gas,52000,clean,manual,,convertible,,nc
57000,2014,chevrolet,corvette stingray,like new,8 cylinders,gas,5800,clean,other,full-size,coupe,grey,nm
7000,2004,infiniti,g35 coupe,excellent,6 cylinders,gas,137842,clean,manual,,coupe,black,mn
3900,2012,,SMART FORTWO,excellent,3 cylinders,gas,74415,clean,automatic,,coupe,,nm
3900,2012,,SMART FORTWO,excellent,3 cylinders,gas,66096,clean,automatic,,coupe,,nm
11975,2013,audi,a5 quattro,good,4 cylinders,gas,,clean,automatic,full-size,coupe,black,oh
12893,2005,bmw,6 series,excellent,,gas,56449,clean,automatic,,coupe,,mn
5999,2012,fiat,500,excellent,4 cylinders,gas,71888,clean,manual,,convertible,,oh
2999,2005,chrysler,sebring conv,excellent,6 cylinders,gas,150275,clean,automatic,compact,convertible,,oh
7500,1983,chevrolet,mont,good,8 cylinders,gas,83000,clean,automatic,full-size,coupe,brown,mn
40000,2017,lexus,rc f,,8 cylinders,gas,15146,clean,automatic,,coupe,white,oh
13900,2011,bmw,1 series 128i convertible 2d,good,,gas,42996,clean,automatic,,convertible,silver,oh
7750,2006,ford,mustang gt,good,8 cylinders,gas,155000,clean,manual,full-size,coupe,grey,ca
2200,2001,audi,tt,good,4 cylinders,gas,135000,clean,manual,compact,convertible,green,nm
21990,2012,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,40615,clean,other,,coupe,black,oh
26990,2015,ford,mustang gt coupe 2d,good,8 cylinders,gas,21872,clean,other,,coupe,white,oh
25500,2002,bmw,m3,excellent,6 cylinders,gas,73000,salvage,manual,,coupe,red,ca
10500,2007,bmw,z4 3.0i,like new,6 cylinders,gas,7670000,clean,automatic,,convertible,silver,ct
1800,2001,saturn,s-series sc2 3dr coupe,excellent,4 cylinders,gas,137000,clean,automatic,compact,coupe,white,mn
11500,2012,chevrolet,camaro,like new,6 cylinders,gas,55601,clean,automatic,full-size,coupe,blue,il
19990,2016,bmw,4 series 428i xdrive coupe,good,,gas,60563,clean,automatic,,coupe,black,oh
34900,1968,,PLYMOUTH ROADRUNNER,excellent,8 cylinders,gas,1339,clean,automatic,full-size,coupe,purple,oh
16990,2013,bmw,3 series 328i convertible 2d,good,,gas,70034,clean,automatic,,convertible,grey,oh
6200,2006,mazda,mx-5 convertible,,,gas,122665,clean,automatic,,convertible,,ca
37999,1937,ford,cabriolet,like new,8 cylinders,gas,,clean,automatic,mid-size,convertible,orange,tn
7995,2009,bmw,128i,,,gas,72257,clean,automatic,sub-compact,coupe,blue,ca
7950,2002,chrysler,sebring,,,gas,36423,clean,automatic,compact,convertible,silver,nm
0,2016,bmw,i-8 2 dr coupe,like new,4 cylinders,hybrid,,clean,automatic,mid-size,coupe,white,ca
5500,1967,chevrolet,camaro,fair,8 cylinders,gas,125000,clean,manual,mid-size,coupe,,oh
20988,2012,bmw,650i convertible,like new,8 cylinders,gas,60261,clean,automatic,mid-size,convertible,grey,ca
7499,2009,bmw,128,excellent,6 cylinders,gas,102000,clean,automatic,mid-size,coupe,blue,vt
6500,1990,mazda,miata,excellent,4 cylinders,gas,71000,clean,automatic,sub-compact,convertible,red,oh
5200,1979,lincoln,continental,excellent,8 cylinders,gas,,clean,automatic,full-size,coupe,green,mn
42448,1973,datsun,240z jdm star road,like new,6 cylinders,gas,10948,clean,manual,mid-size,coupe,red,ca
950,1990,acura,legend l coupe,good,6 cylinders,gas,225000,salvage,automatic,mid-size,coupe,grey,nm
2999,2007,chevrolet,cobalt ss 2 door,excellent,4 cylinders,gas,106000,clean,automatic,compact,coupe,red,mn
14900,1973,,1973 triumph,good,6 cylinders,gas,67000,clean,manual,,convertible,blue,ca
13000,2001,chevrolet,corvette convertible,excellent,8 cylinders,gas,,clean,manual,,convertible,yellow,nm
11000,1992,,1992 corvette,excellent,8 cylinders,gas,63400,clean,automatic,,coupe,green,mn
59065,2015,bmw,i8,excellent,3 cylinders,gas,32000,clean,automatic,compact,coupe,grey,ca
17500,1995,chevrolet,camaro z28,,8 cylinders,gas,48000,clean,manual,,coupe,grey,oh
14995,2017,ford,mustang,excellent,4 cylinders,gas,,clean,automatic,sub-compact,coupe,black,ca
3500,1989,jaguar,xjs convertible,good,12 cylinders,gas,79487,clean,automatic,mid-size,convertible,red,ca
4500,2007,toyota,solara,excellent,6 cylinders,gas,206000,clean,automatic,mid-size,convertible,red,ca
7995,2009,bmw,128i,,,gas,72257,clean,automatic,sub-compact,coupe,blue,ca
17995,2014,ford,mustang,,,gas,72273,clean,manual,sub-compact,coupe,black,tx
5300,2006,honda,civic si,excellent,,gas,133500,rebuilt,manual,,coupe,blue,tx
8995,2005,bmw,645ci,,,gas,103635,clean,automatic,,convertible,,ca
12988,2010,dodge,challenger r/t,like new,8 cylinders,gas,77769,clean,automatic,full-size,coupe,orange,ca
13988,2010,audi,a5 2.0t premium plus,like new,4 cylinders,gas,,clean,automatic,mid-size,coupe,silver,ca
4900,2011,chrysler,200 convertible limited,excellent,6 cylinders,gas,96232,clean,automatic,compact,convertible,black,ca
5900,1996,bmw,328i,like new,6 cylinders,gas,71704,clean,automatic,mid-size,convertible,silver,tx
13995,2017,ford,mustang,like new,4 cylinders,gas,50000,clean,automatic,,coupe,grey,tx
15900,1970,cadillac,conv,,,gas,,clean,automatic,full-size,convertible,red,ca
0,1998,jaguar,xj8,excellent,8 cylinders,gas,,clean,automatic,mid-size,convertible,red,ca
73500,1957,chevrolet,bel air coupe,like new,8 cylinders,gas,200,clean,automatic,full-size,coupe,black,ca
55000,1967,chevrolet,chevelle,like new,8 cylinders,gas,,clean,manual,full-size,coupe,black,ca
6000,1992,jaguar,xjs,good,12 cylinders,gas,73800,clean,automatic,,convertible,black,nm
1500,2000,ford,focus se,excellent,4 cylinders,gas,190000,clean,automatic,compact,coupe,blue,oh
7500,1980,mercedes-benz,benz 450 sl,good,6 cylinders,gas,92300,clean,automatic,compact,coupe,white,oh
19977,2017,ford,mustang,,4 cylinders,gas,62987,clean,automatic,,convertible,black,nm
25995,2020,ford,mustang ecoboost premium,,,gas,6121,clean,automatic,,convertible,red,oh
3750,2004,chrysler,sebring,excellent,6 cylinders,gas,49062,clean,automatic,mid-size,convertible,purple,tn
11900,2004,bmw,m3 convertible,fair,6 cylinders,gas,132000,clean,other,mid-size,convertible,blue,tx
8995,2012,nissan,altima,excellent,6 cylinders,gas,93608,clean,other,mid-size,coupe,blue,tn
16500,2014,dodge,challenger,excellent,8 cylinders,gas,,clean,automatic,mid-size,coupe,white,ca
25990,2017,infiniti,q60 3.0t premium coupe,good,6 cylinders,gas,46580,clean,automatic,,coupe,blue,ca
23990,2017,bmw,2 series 230i coupe 2d,good,,gas,18437,clean,automatic,,coupe,black,ca
5495,2007,ford,mustang v6 deluxe,,,gas,127527,clean,manual,,coupe,white,oh
3995,2007,toyota,solara,,,gas,185123,clean,automatic,compact,convertible,black,nc
13190,2013,honda,accord lx-s coupe 2d,good,,gas,79416,clean,automatic,,coupe,,ca
15900,2016,hyundai,veloster coupe 3d,good,,gas,23949,clean,automatic,,coupe,black,ca
22590,2018,honda,civic si coupe 2d,good,,gas,13930,clean,other,,coupe,black,ca
19495,2014,dodge,challenger,,,gas,67905,clean,manual,,coupe,white,oh
15500,2016,mini,cooper s,like new,4 cylinders,gas,69000,clean,automatic,,coupe,grey,oh
14900,2015,honda,civic lx coupe 2d,good,,other,20480,clean,automatic,,coupe,white,ca
3600,1996,bmw,328i,good,6 cylinders,gas,109000,clean,automatic,compact,convertible,,mn
15995,2003,mercedes-benz,sl 500,,8 cylinders,gas,41325,clean,automatic,,convertible,black,ca
8495,2006,mazda,mx-5 miata club spec,,4 cylinders,gas,72929,clean,manual,,convertible,white,ca
0,2012,dodge,challenger,excellent,6 cylinders,gas,114201,clean,automatic,mid-size,coupe,red,oh
13995,2013,subaru,brz,,,gas,79052,clean,automatic,sub-compact,coupe,black,oh
11995,2006,ford,mustang gt premium,,8 cylinders,gas,68214,clean,manual,,coupe,black,ca
16985,2013,infiniti,g37 coupe,excellent,,gas,112061,clean,manual,,coupe,white,ca
28900,2019,subaru,brz limited coupe 2d,good,,gas,2997,clean,other,,coupe,white,oh
11988,2009,bmw,335i,,6 cylinders,gas,73584,clean,automatic,,convertible,black,ca
78988,2014,audi,r8,,8 cylinders,gas,14451,clean,automatic,,convertible,grey,ca
57988,2014,,Porsche 911,,6 cylinders,gas,32322,clean,automatic,,convertible,black,ca
23488,2006,,Porsche Cayman,,6 cylinders,gas,65002,clean,automatic,,coupe,silver,ca
3200,2003,honda,accord,good,4 cylinders,gas,146970,clean,manual,mid-size,coupe,silver,ca
12900,1995,mercedes-benz,e320,good,6 cylinders,gas,63000,clean,automatic,full-size,convertible,white,oh
45000,2013,ford,mustang shelby gt500,like new,8 cylinders,gas,3200,clean,manual,mid-size,coupe,black,oh
22995,2016,bmw,428i,excellent,4 cylinders,gas,92633,clean,automatic,mid-size,convertible,blue,ca
23590,2013,audi,s5 prestige coupe 2d,good,6 cylinders,gas,62347,clean,automatic,,coupe,,ca
17988,2016,ford,mustang,,4 cylinders,gas,72999,clean,automatic,,coupe,black,ca
14990,2014,chevrolet,camaro ls coupe 2d,good,6 cylinders,gas,71588,clean,automatic,,coupe,yellow,ca
12990,2012,ford,mustang coupe 2d,good,6 cylinders,gas,69958,clean,other,,coupe,white,ca
19790,2014,bmw,4 series 428i coupe 2d,good,,gas,57427,clean,other,,coupe,black,ca
37711,2019,dodge,challenger,,8 cylinders,gas,2116,clean,automatic,,coupe,grey,ca
5500,2004,bmw,z4 2.5i,good,6 cylinders,gas,125000,clean,automatic,compact,coupe,grey,ca
799,2014,,VOLSWAGEN BEETLE,excellent,4 cylinders,gas,109140,clean,automatic,,coupe,,oh
12433,2015,hyundai,genesis coupe,excellent,6 cylinders,gas,68125,clean,automatic,sub-compact,coupe,white,oh
11390,2011,cadillac,cts,,,gas,115200,clean,automatic,,coupe,black,oh
8500,1986,chevrolet,camaro,,,gas,68636,clean,automatic,sub-compact,coupe,red,oh
1200,2004,volkswagen,beetle,good,4 cylinders,gas,,clean,automatic,compact,coupe,red,oh
1500,2012,fiat,500,excellent,4 cylinders,gas,149000,clean,manual,compact,coupe,,oh
22900,2015,bmw,4 series 435i gran coupe,good,,gas,64368,clean,automatic,,coupe,black,oh
23990,2014,ford,mustang gt coupe 2d,good,8 cylinders,gas,32013,clean,other,,coupe,grey,oh
8977,2008,mercedes-benz,benz clk350,excellent,6 cylinders,gas,77202,clean,automatic,mid-size,coupe,black,ca
40000,2017,lexus,rc f,,8 cylinders,gas,15146,clean,automatic,,coupe,white,oh
47000,2015,chevrolet,corvette,,8 cylinders,gas,10513,clean,manual,,coupe,blue,oh
53000,2016,chevrolet,corvette,,8 cylinders,gas,7544,clean,automatic,,convertible,red,oh
1500,2000,chrysler,sebring convertible,good,6 cylinders,gas,,clean,automatic,mid-size,convertible,white,ca
4500,1946,ford,coupe,good,8 cylinders,gas,,clean,manual,full-size,coupe,black,mn
21599,2016,dodge,challenger r/t,excellent,8 cylinders,gas,63623,clean,manual,,coupe,black,ca
5995,2010,honda,accord ex,like new,4 cylinders,gas,168522,clean,automatic,compact,coupe,black,tx
2800,2003,honda,accord coupe,good,4 cylinders,gas,,clean,automatic,,coupe,white,ca
26900,1969,,oldsmobile 442,excellent,8 cylinders,gas,,clean,automatic,,coupe,custom,oh
35900,1972,chevrolet,nova ss,excellent,8 cylinders,gas,81024,clean,automatic,,coupe,green,oh
14900,1987,,Porsche 944,excellent,4 cylinders,gas,,clean,manual,,coupe,red,oh
18995,1964,,1964.5 mustang,excellent,8 cylinders,gas,27809,clean,automatic,,coupe,white,ca
16995,2015,ford,mustang,excellent,6 cylinders,gas,49235,clean,automatic,,convertible,black,oh
700,1999,acura,,good,4 cylinders,gas,202000,clean,automatic,compact,coupe,silver,ca
40000,2011,,Porsche 911,,6 cylinders,gas,30640,clean,automatic,,convertible,black,oh
8595,2011,volkswagen,golf,,4 cylinders,diesel,56106,rebuilt,manual,,coupe,red,oh
21900,2006,pontiac,gto,excellent,8 cylinders,gas,,clean,automatic,,coupe,red,oh
16000,2004,chevrolet,corvette,,8 cylinders,gas,72184,clean,automatic,,coupe,red,oh
11995,2014,ford,mustang,,,gas,105277,clean,automatic,sub-compact,convertible,black,oh
11833,2016,hyundai,veloster,excellent,4 cylinders,gas,35862,clean,automatic,compact,coupe,silver,oh
17000,2015,dodge,challenger sxt,excellent,6 cylinders,gas,37000,clean,automatic,full-size,coupe,white,ca
799,2014,,VOLSWAGEN BEETLE,excellent,4 cylinders,gas,109140,clean,automatic,,coupe,,oh
0,2013,honda,accord,excellent,6 cylinders,gas,85650,clean,automatic,full-size,coupe,red,ca
11500,1967,ford,galaxie,good,8 cylinders,gas,60000,clean,automatic,,convertible,red,oh
13000,2010,chevrolet,camaro ss,excellent,8 cylinders,gas,87500,clean,automatic,,coupe,silver,id
8300,2011,honda,civic si,good,,gas,103000,salvage,manual,compact,coupe,black,oh
21800,2018,honda,civic si coupe 2d,good,,gas,23841,clean,other,,coupe,,ca
5250,2003,ford,mustang,good,6 cylinders,gas,57716,clean,automatic,,coupe,grey,tx
12000,2014,chevrolet,camaro,excellent,6 cylinders,gas,47500,rebuilt,automatic,mid-size,coupe,red,tx
3995,2000,,SAAB 9-3,,,gas,102000,clean,automatic,,convertible,silver,ct
24500,1972,chevrolet,camaro,excellent,8 cylinders,gas,,clean,automatic,,coupe,black,mn
7500,1987,,porsche 944 turbo,good,4 cylinders,gas,192000,clean,manual,compact,coupe,black,mn
9808,2009,mini,cooper,,4 cylinders,gas,66677,clean,manual,,coupe,,id
14250,2008,chevrolet,corvette convertible,excellent,8 cylinders,gas,130,clean,automatic,,convertible,white,id
26533,2014,jeep,wrangler unlimited,,,gas,90275,clean,automatic,,convertible,silver,id
22990,2014,cadillac,elr coupe 2d,good,,gas,42669,clean,other,,coupe,silver,ca
20600,2017,honda,accord ex-l coupe 2d,good,6 cylinders,gas,39321,clean,automatic,,coupe,,ca
18990,2017,honda,civic si coupe 2d,good,,gas,45510,clean,other,,coupe,red,ca
17990,2017,honda,civic ex-l coupe 2d,good,,gas,26032,clean,automatic,,coupe,,ca
28990,2017,lexus,rc 350 coupe 2d,good,6 cylinders,gas,45890,clean,automatic,,coupe,silver,ca
19998,1998,pontiac,firebird,good,8 cylinders,gas,132600,clean,automatic,,coupe,red,tx
24985,2017,mercedes-benz,c-class,excellent,,gas,16387,clean,automatic,,coupe,grey,ca
7995,2003,ford,thunderbird convertible,excellent,8 cylinders,gas,,clean,automatic,,convertible,,tn
7500,1994,chevrolet,silverado 1500,good,8 cylinders,gas,157000,clean,automatic,,coupe,brown,ca
21990,2019,ford,mustang ecoboost premium,good,,gas,38771,clean,other,,convertible,black,ca
21988,2019,ford,mustang,,4 cylinders,gas,48196,clean,automatic,,convertible,grey,ca
6250,1995,chevrolet,corvette,excellent,8 cylinders,gas,80000,clean,manual,full-size,coupe,green,il
29590,2012,ford,mustang boss 302 coupe 2d,good,8 cylinders,gas,32567,clean,other,,coupe,white,ca
15800,2002,chevrolet,corvette,excellent,8 cylinders,gas,,clean,automatic,,convertible,,mn
19990,2015,bmw,2 series 228i coupe 2d,good,,gas,36189,clean,other,,coupe,white,ca
5995,2007,volvo,c70,,,gas,101080,clean,automatic,sub-compact,convertible,red,nc
6250,1979,bmw,635csi,excellent,6 cylinders,gas,,clean,automatic,,coupe,,nc
19990,2013,infiniti,g g37 convertible 2d,good,6 cylinders,gas,53520,clean,automatic,,convertible,black,ca
6498,2007,bmw,3 series,excellent,,gas,135649,clean,automatic,,coupe,black,ca
4998,2004,bmw,3 series,excellent,,gas,129629,clean,manual,,convertible,grey,ca
19990,2014,cadillac,elr coupe 2d,good,,electric,78285,clean,other,,coupe,,ca
29700,2017,ford,mustang gt coupe 2d,good,8 cylinders,gas,18188,clean,automatic,,coupe,black,ca
24990,2016,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,46406,clean,other,,coupe,red,ca
23990,2012,audi,tt tts quattro premium plus,good,,gas,43498,clean,automatic,,coupe,black,ca
16790,2013,mercedes-benz,c-class c 250,good,,gas,42930,clean,automatic,,coupe,black,ca
6900,2001,ford,mustang gt convertible,excellent,8 cylinders,gas,108000,rebuilt,automatic,,convertible,black,tn
16995,2014,bmw,4 series,excellent,,gas,93927,clean,automatic,,coupe,grey,ca
6000,1986,,cheverolet corvette,good,8 cylinders,gas,169000,clean,automatic,compact,coupe,silver,tn
9850,2008,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,72800,clean,manual,sub-compact,convertible,grey,vt
19986,2015,cadillac,ats 2.0l turbo luxury,like new,4 cylinders,gas,24232,clean,automatic,compact,coupe,red,tn
16985,2012,ford,mustang gt convertible,good,8 cylinders,gas,56150,clean,automatic,mid-size,coupe,red,ca
5450,2007,toyota,solara sle convertible,excellent,6 cylinders,gas,136637,clean,automatic,mid-size,convertible,grey,id
7300,2012,honda,accord exl,excellent,6 cylinders,gas,63992,rebuilt,automatic,compact,coupe,black,nc
16990,2012,bmw,3 series 328i convertible 2d,good,,gas,44142,clean,automatic,,convertible,grey,ca
22590,2018,honda,civic si coupe 2d,good,,gas,13930,clean,other,,coupe,black,ca
12990,2014,honda,civic lx coupe 2d,good,,gas,55680,clean,automatic,,coupe,brown,ca
6998,2005,nissan,350z,excellent,,gas,102749,clean,manual,,convertible,yellow,ca
16900,2013,dodge,challenger sxt coupe 2d,good,6 cylinders,gas,64007,clean,other,,coupe,black,ca
26900,2015,dodge,challenger r/t coupe 2d,good,8 cylinders,gas,26476,clean,other,,coupe,silver,ca
17990,2012,infiniti,g g37 sport convertible,good,6 cylinders,gas,60996,clean,other,,convertible,black,ca
19990,2014,cadillac,elr coupe 2d,good,,gas,74975,clean,other,,coupe,silver,ca
26690,2012,dodge,challenger srt8 392 coupe,good,8 cylinders,gas,49511,clean,other,,coupe,yellow,ca
17000,1971,,Oldsmobile Delta 88 Royale,good,8 cylinders,gas,89000,clean,automatic,full-size,convertible,white,ca
10995,2014,kia,forte,,,gas,62046,clean,automatic,,coupe,blue,oh
14998,2014,infiniti,q60 coupe sport,excellent,6 cylinders,gas,64910,salvage,manual,compact,coupe,grey,ca
13998,2014,infiniti,q60 journey coupe,excellent,6 cylinders,gas,64100,salvage,automatic,compact,coupe,red,ca
12998,2012,dodge,challenger r/t,excellent,8 cylinders,gas,61000,salvage,automatic,compact,coupe,blue,ca
21990,2013,bmw,1 series 135i convertible 2d,good,,gas,22395,clean,other,,convertible,silver,ca
23990,2012,lexus,is 250c convertible 2d,good,6 cylinders,gas,36964,clean,other,,convertible,blue,ca
26990,2014,mercedes-benz,e-class e 350,good,6 cylinders,gas,21011,clean,automatic,,convertible,silver,ca
12300,2010,honda,accord ex-l coupe 2d,good,6 cylinders,gas,76597,clean,other,,coupe,,ca
25990,2015,bmw,2 series m235i convertible,good,,gas,28459,clean,other,,convertible,grey,ca
1,1993,ford,mustang,good,8 cylinders,gas,,clean,manual,compact,coupe,white,ca
22590,2016,cadillac,ats 2.0l turbo luxury,good,,gas,35078,clean,other,,coupe,black,ca
2600,1990,mazda,miata mx5,fair,4 cylinders,gas,,clean,manual,compact,convertible,red,ca
1600,1985,chevrolet,corvette,good,8 cylinders,gas,100000,missing,automatic,mid-size,coupe,custom,ca
5500,1990,mazda,miata,fair,4 cylinders,gas,164831,clean,manual,,convertible,grey,nc
0,1998,mercedes-benz,sl500,,8 cylinders,gas,100655,clean,automatic,,convertible,white,ca
17990,2013,infiniti,g g37 convertible 2d,good,6 cylinders,gas,88445,clean,automatic,,convertible,black,ca
6377,2007,mercedes-benz,clk350 3.5l,excellent,6 cylinders,gas,114992,clean,automatic,,coupe,,ca
21995,2009,mercedes-benz,benz sl550,excellent,8 cylinders,gas,74000,clean,automatic,,convertible,red,vt
18000,2018,fiat,124 spider,like new,4 cylinders,gas,22398,clean,manual,,convertible,red,nc
4000,2002,chevrolet,monte carlo ss,excellent,6 cylinders,gas,187770,clean,automatic,full-size,coupe,black,nc
30499,2015,chevrolet,camaro,,,gas,8217,clean,automatic,compact,coupe,black,ca
25995,2013,bmw,m3,,,gas,50987,clean,,sub-compact,convertible,blue,ca
10899,1999,chevrolet,camaro,,,gas,107993,clean,automatic,sub-compact,coupe,white,ca
6995,2001,ford,mustang,,,gas,92414,clean,automatic,sub-compact,convertible,white,oh
10999,2012,volvo,c70,,,gas,80960,clean,automatic,sub-compact,convertible,black,ca
3900,1992,cadillac,eldorado,excellent,,gas,110000,clean,automatic,,coupe,,ca
0,2016,chevrolet,camaro,excellent,8 cylinders,gas,9615,clean,automatic,compact,coupe,blue,oh
9995,2013,honda,civic,,4 cylinders,gas,145680,clean,manual,,coupe,blue,nc
0,2006,,Porsche 911,,6 cylinders,gas,58513,clean,manual,,coupe,silver,tn
5000,2009,mini,cooper clubman,good,4 cylinders,gas,137000,clean,automatic,compact,coupe,brown,tn
12450,2007,bmw,328i convertible,excellent,6 cylinders,gas,96450,clean,automatic,,convertible,,tn
4500,1997,pontiac,t/a,good,8 cylinders,gas,,clean,automatic,mid-size,convertible,blue,tn
23500,1970,chevrolet,impala,excellent,8 cylinders,gas,65000,clean,automatic,full-size,convertible,green,ca
0,2005,volkswagen,new beetle convertible,excellent,,gas,,clean,automatic,,convertible,blue,ca
20900,2016,bmw,2 series 228i coupe 2d,good,,gas,31153,clean,automatic,,coupe,black,tn
12990,2016,kia,forte koup ex coupe 2d,good,,gas,18718,clean,automatic,,coupe,white,tn
27590,2019,subaru,brz premium coupe 2d,good,,gas,3426,clean,other,,coupe,silver,tn
17790,2017,ford,mustang v6 coupe 2d,good,6 cylinders,gas,40572,clean,other,,coupe,red,tn
24990,2018,subaru,brz limited coupe 2d,good,,gas,12529,clean,other,,coupe,silver,tn
22900,2017,chevrolet,camaro lt coupe 2d,good,6 cylinders,gas,28341,clean,other,,coupe,silver,tn
14900,2016,hyundai,veloster coupe 3d,good,,gas,39430,clean,automatic,,coupe,orange,tn
17900,2015,bmw,4 series 428i coupe 2d,good,,gas,85152,clean,automatic,,coupe,blue,tn
15990,2014,honda,accord ex-l coupe 2d,good,6 cylinders,gas,57102,clean,automatic,,coupe,,ca
15990,2015,honda,civic ex coupe 2d,good,,other,31723,clean,automatic,,coupe,grey,tn
19990,2016,honda,accord ex-l coupe 2d,good,,gas,26375,clean,automatic,,coupe,black,tn
16990,2012,infiniti,g g37 coupe 2d,good,6 cylinders,gas,69210,clean,automatic,,coupe,silver,oh
25990,2015,audi,tt tts quattro coupe 2d,good,,gas,35031,clean,automatic,,coupe,black,tn
23990,2012,ford,mustang gt coupe 2d,good,8 cylinders,gas,16546,clean,other,,coupe,blue,tn
16995,2016,chevrolet,camaro,good,6 cylinders,gas,68608,clean,automatic,mid-size,coupe,red,ca
15990,2012,infiniti,g g37 coupe 2d,good,6 cylinders,gas,99573,clean,automatic,,coupe,grey,tn
28990,2016,bmw,2 series m235i coupe 2d,good,,other,14351,clean,automatic,,coupe,red,tn
23590,2013,audi,s5 prestige coupe 2d,good,6 cylinders,gas,62347,clean,automatic,,coupe,,ca
18990,2016,honda,accord ex-l coupe 2d,good,6 cylinders,gas,32405,clean,other,,coupe,black,tn
4477,2005,ford,focus,,4 cylinders,gas,97207,clean,automatic,,coupe,blue,mn
18990,2017,ford,mustang ecoboost coupe 2d,good,,gas,25152,clean,automatic,,coupe,blue,ca
5200,2013,volkswagen,beetle,good,4 cylinders,gas,67000,clean,manual,mid-size,coupe,blue,mn
28000,1937,chevrolet,coupe,excellent,8 cylinders,gas,,clean,automatic,,coupe,custom,mn
11995,2011,dodge,challenger,,,other,,clean,automatic,,coupe,,mn
15900,2000,chevrolet,corvette,like new,8 cylinders,gas,54113,clean,manual,full-size,coupe,grey,mn
4500,2003,chevrolet,monte carlo ss,excellent,6 cylinders,gas,162113,clean,automatic,mid-size,coupe,red,mn
18995,2016,dodge,challenger sxt plus,,6 cylinders,gas,28213,clean,automatic,,coupe,black,ca
12590,2013,hyundai,veloster turbo coupe 3d,good,,gas,66615,clean,automatic,,coupe,orange,tn
17999,1979,chevrolet,corvette convertible,excellent,8 cylinders,gas,53000,clean,automatic,mid-size,convertible,white,mn
5500,1999,mazda,miata mx5,excellent,4 cylinders,gas,178580,clean,manual,compact,convertible,black,ca
27900,2012,dodge,challenger srt8 392 coupe,good,8 cylinders,gas,29664,clean,other,,coupe,red,tn
5995,2009,honda,accord,good,4 cylinders,gas,84000,clean,automatic,mid-size,coupe,silver,mn
10500,2011,dodge,challenger,good,8 cylinders,gas,58000,salvage,automatic,mid-size,coupe,white,mn
14995,2015,chevrolet,camaro lt,,6 cylinders,gas,85968,clean,automatic,,coupe,red,ca
16000,2008,nissan,350z nismo,good,6 cylinders,gas,88034,salvage,manual,,coupe,black,mn
20990,2013,infiniti,g g37 journey coupe 2d,good,6 cylinders,gas,44000,clean,automatic,,coupe,,ca
16900,2009,nissan,370z coupe 2d,good,6 cylinders,gas,56086,clean,automatic,,coupe,silver,ca
2732,2002,mercedes-benz,c230,excellent,4 cylinders,gas,156,clean,automatic,mid-size,coupe,silver,ca
0,2017,jeep,wrangler unlimited sport,,6 cylinders,gas,30757,clean,automatic,,convertible,,ca
2500,2002,honda,accord cpe,excellent,6 cylinders,gas,174179,clean,automatic,compact,coupe,red,ca
2995,2008,volkswagen,rabbit,excellent,5 cylinders,gas,167189,clean,automatic,compact,coupe,grey,ca
23990,2014,bmw,2 series m235i coupe 2d,good,,gas,47610,clean,other,,coupe,white,ca
17990,2017,honda,civic ex-l coupe 2d,good,,gas,26032,clean,automatic,,coupe,,ca
29999,1956,chevrolet,,excellent,8 cylinders,gas,,clean,automatic,full-size,coupe,blue,oh
